Offset(P)            #Ptr   #Hnd Access Name
0x0000000001717be8      1      0 R--rwd \Device\TrueCryptVolumeE\password.txt
0x0000000001718190      3      0 RWD--- \Device\TrueCryptVolumeE\$Directory
0x0000000001719f90      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x000000000171a028      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\CSCG\My Documents\My Pictures\Desktop.ini
0x000000000171a440      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x000000000171a6a0      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\CSCG\Start Menu\Programs\desktop.ini
0x000000000171c9c8      2      1 ------ \Device\NamedPipe\browser
0x000000000171de38      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x0000000001722718      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\ipnathlp.dll
0x0000000001722aa8      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\All Users\Start Menu\Programs\desktop.ini
0x00000000017230e0      1      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\CSCG\Local Settings\History\History.IE5\index.dat
0x00000000017236f0      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32
0x0000000001723788      1      1 ------ \Device\NamedPipe\net\NtControlPipe10
0x00000000017239f0      1      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\CSCG\Cookies\index.dat
0x0000000001723ba0      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x0000000001723e18      1      1 ------ \Device\Afd\Endpoint
0x0000000001723ee0      1      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\CSCG\Local Settings\History\History.IE5\index.dat
0x0000000001727a78      1      0 RW-rw- \Device\HarddiskVolume1\Documents and Settings\CSCG\Recent\Local Disk (E).lnk
0x0000000001727b90      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x0000000001729028      1      1 ------ \Device\Afd\Endpoint
0x00000000017291d0      1      1 -W-rw- \Device\HarddiskVolume1\WINDOWS\Sti_Trace.log
0x0000000001729268      1      0 RW-rw- \Device\HarddiskVolume1\WINDOWS\0.log
0x000000000172ae78      1      1 ------ \Device\NamedPipe\lsarpc
0x000000000172b640      1      1 ------ \Device\NamedPipe\Ctx_WinStation_API_service
0x000000000172bc68      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32
0x000000000172d3d0      1      0 R--rwd \Device\HarddiskVolume1\boot.ini
0x000000000172e170      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\SoftwareDistribution\SelfUpdate\wuident.cab
0x0000000001730368      2      1 ------ \Device\Afd\Endpoint
0x0000000001731580      1      1 ------ \Device\Afd\Endpoint
0x0000000001731a50      1      1 ------ \Device\Afd\Endpoint
0x00000000017321b0      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x0000000001732248      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x00000000017322e0      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x0000000001732378      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x0000000001732410      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x00000000017324a8      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x0000000001732540      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x00000000017325d8      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x0000000001732670      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x0000000001732708      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x00000000017327a0      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x0000000001732838      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x00000000017328d0      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x0000000001732968      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x0000000001732a00      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x0000000001732a98      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x0000000001732b30      3      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x0000000001732c00      1      1 RW---- \Device\HarddiskVolume1\WINDOWS\SoftwareDistribution\DataStore\DataStore.edb
0x00000000017330e8      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x0000000001733e00      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x0000000001733f10      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\wups.dll
0x0000000001735cc8      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\wuauclt.exe
0x0000000001736b58      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\WinSxS\Manifests\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9.Manifest
0x0000000001737898      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x0000000001737f90      1      1 ------ \Device\Afd\Endpoint
0x000000000173e2f8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x000000000173f0e0      2      1 ------ \Device\NamedPipe\PCHHangRepExecPipe
0x0000000001740c88      2      1 ------ \Device\NamedPipe\DAV RPC SERVICE
0x0000000001741698      2      1 ------ \Device\NamedPipe\PCHFaultRepExecPipe
0x0000000001741b70      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x00000000017452e8      1      0 ------ \Device\KSENUM#00000002\{9B365890-165F-11D0-A195-0020AFD156E4}
0x00000000017458a0      1      0 ------ \Device\KSENUM#00000002\{9B365890-165F-11D0-A195-0020AFD156E4}
0x0000000001746510      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x0000000001747028      3      1 R--rwd \Device\HarddiskVolume1\WINDOWS\pchealth\helpctr\BATCH
0x00000000017480d0      1      1 ------ \Device\NamedPipe\lsarpc
0x0000000001752770      1      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\CSCG\Local Settings\Temporary Internet Files\Content.IE5\index.dat
0x00000000017532d0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\zipfldr.dll
0x0000000001753430      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x0000000001753a08      3      0 RWD--- \Device\HarddiskVolume1\$ReplaceAttribute
0x0000000001753be8      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\Fonts\lucon.ttf
0x0000000001753e88      2      1 ------ \Device\NamedPipe\Winsock2\CatalogChangeListener-400-0
0x0000000001754100      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\wpabaln.exe
0x00000000017544f0      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\wuaucpl.cpl
0x0000000001754bd0      2      1 ------ \Device\Afd\Endpoint
0x0000000001755408      1      1 ------ \Device\NamedPipe\srvsvc
0x0000000001756870      2      1 ------ \Device\Afd\Endpoint
0x0000000001757028      1      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\NetworkService\Local Settings\Temporary Internet Files\Content.IE5\index.dat
0x00000000017589e0      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x0000000001758a78      3      1 ------ \Device\NamedPipe\net\NtControlPipe10
0x0000000001758f60      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x0000000001759458      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x000000000175a950      1      1 ------ \Device\Afd\Endpoint
0x000000000175a9e8      1      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\CSCG\Local Settings\Temporary Internet Files\Content.IE5\index.dat
0x000000000175af90      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\WSCNTFY.EXE-1B24F5EB.pf
0x000000000175cf90      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\wiaservc.log
0x000000000175dae0      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x000000000175fe40      2      1 ------ \Device\NamedPipe\Ctx_WinStation_API_service
0x0000000001763260      1      1 ------ \Device\NamedPipe\net\NtControlPipe9
0x00000000017638f8      6      1 ------ \Device\Afd\Endpoint
0x00000000017642e0      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x00000000017644b0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\wuauclt.exe
0x0000000001765bb8      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\wbem\cimwin32.dll
0x0000000001767d28      3      1 RW-r-- \Device\HarddiskVolume1\WINDOWS\system32\wbem\Repository\FS\INDEX.BTR
0x0000000001767ef8      3      1 RW-r-- \Device\HarddiskVolume1\WINDOWS\system32\wbem\Repository\FS\OBJECTS.MAP
0x0000000001767f90      3      1 RW-r-- \Device\HarddiskVolume1\WINDOWS\system32\wbem\Repository\FS\INDEX.MAP
0x0000000001768598      3      1 RW-r-- \Device\HarddiskVolume1\WINDOWS\system32\wbem\Repository\FS\MAPPING2.MAP
0x0000000001768b48      3      1 RW-r-- \Device\HarddiskVolume1\WINDOWS\system32\wbem\Repository\FS\MAPPING.VER
0x0000000001768d18      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\wscntfy.exe
0x000000000176bf90      3      2 ------ \Device\RawIp\255
0x000000000176c028      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x000000000176c938      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\shell32.dll
0x000000000176cb28      1      1 ------ \Device\Afd\Endpoint
0x000000000176cef8      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x000000000176cf90      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x000000000176e350      2      1 ------ \Device\NamedPipe\srvsvc
0x000000000176e498      1      1 ------ \Device\NamedPipe\trkwks
0x000000000176e658      2      1 ------ \Device\NamedPipe\trkwks
0x000000000176f358      2      1 RW-rw- \Device\NamedPipe\
0x000000000176f540      1      1 ------ \Device\NamedPipe\W32TIME
0x00000000017700d8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x0000000001770230      1      1 ------ \Device\Afd\Endpoint
0x00000000017706f0      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001770c80      2      1 ------ \Device\NamedPipe\W32TIME
0x0000000001770d18      1      0 R--r-- \Device\HarddiskVolume1\System Volume Information\_restore{C6A45AAD-F4F6-4BE2-AFC3-2CBE4185A279}\drivetable.txt
0x0000000001770ec0      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x00000000017778d0      1      1 ------ \Device\NamedPipe\EVENTLOG
0x0000000001777aa0      2      1 ------ \Device\NamedPipe\PIPE_EVENTROOT\CIMV2SCM EVENT PROVIDER
0x00000000017847d8      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\drivers\etc\hosts
0x00000000017850b0      1      1 -W-rw- \Device\HarddiskVolume1\Documents and Settings\CSCG\VBox.log
0x0000000001785590      1      1 R--r-- \Device\HarddiskVolume1\Program Files\Messenger\msmsgs.exe
0x0000000001785708      2      0 RW---- \Device\HarddiskVolume1\WINDOWS\SoftwareDistribution\EventCache\{354078ED-41C3-46A6-840B-26051C267BF6}.bin
0x0000000001785988      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\wbem\wmiprvse.exe
0x0000000001787ad0      1      1 ------ \Device\NamedPipe\wkssvc
0x0000000001787d20      1      1 ------ \Device\NamedPipe\wkssvc
0x0000000001787e78      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x00000000017898a0      1      0 ------ \Device\KSENUM#00000002\{9B365890-165F-11D0-A195-0020AFD156E4}
0x000000000178a1f0      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x000000000178a328      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x000000000178a898      2      1 RW---- \Device\HarddiskVolume1\Program Files\TrueCrypt\true.dmp
0x000000000178d1e0      1      0 -W-r-- \Device\HarddiskVolume1\WINDOWS\SoftwareDistribution\SelfUpdate\wuident-inner.cab
0x000000000178d368      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\wbem\wmiprvse.exe
0x000000000178db70      3      1 R--r-- \Device\HarddiskVolume1\Program Files\Messenger\msmsgs.exe
0x000000000178e328      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\iuengine.dll
0x00000000017903f8      2      1 ------ \Device\NamedPipe\lsass
0x0000000001794cb8      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001797e80      3      0 RWD--- \Device\TrueCryptVolumeE\$Mft
0x0000000001797f90      1      0 R--r-d \Device\HarddiskVolume1\Documents and Settings\All Users\Start Menu\Programs\Accessories\Paint.lnk
0x0000000001798168      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x0000000001798278      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x000000000179a158      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x000000000179baf0      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\wpabaln.exe
0x000000000179c130      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x000000000179c5b0      1      1 ------ \Device\NamedPipe\DAV RPC SERVICE
0x000000000179dd18      1      0 R----- \Device\HarddiskVolume1\WINDOWS\Prefetch\NOTEPAD.EXE-336351A9.pf
0x00000000017a0388      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\drivers\kmixer.sys
0x00000000017a0420      5      1 RWDr-- \Device\HarddiskVolume1\System Volume Information\tracking.log
0x00000000017a08c0      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\Media\Windows XP Exclamation.wav
0x00000000017a0a88      2      1 ------ \Device\NamedPipe\lsass
0x00000000017a0b20      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\CSCG\My Documents\desktop.ini
0x00000000017a0bb8      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\SoftwareDistribution\WuRedir\9482F4B4-E343-43B6-B170-9A65BC822C77\wuredir.cab
0x00000000017a0c50      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\wucltui.dll
0x00000000017a0ce8      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\wuaueng1.dll
0x00000000017a0d80      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\wuauclt1.exe
0x00000000017a0f90      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x00000000017a1900      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\Media\Windows XP Balloon.wav
0x00000000017a1bc8      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\CSCG\My Documents\My Music\Desktop.ini
0x00000000017a2028      3      1 R--rwd \Device\HarddiskVolume1\Documents and Settings\CSCG\Local Settings\Application Data\Microsoft\CD Burning
0x00000000017a2268      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\CSCG\Start Menu\desktop.ini
0x00000000017a2b28      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x00000000017a2c38      3      1 R--rwd \Device\HarddiskVolume1\Documents and Settings\All Users\Desktop
0x00000000017a3928      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.GdiPlus_6595b64144ccf1df_1.0.2600.2180_x-ww_522f9f82
0x00000000017a4f30      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\zipfldr.dll
0x00000000017a57d8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x00000000017a80b0      3      1 R--rwd \Device\HarddiskVolume1\Documents and Settings\CSCG\Desktop
0x00000000017a8490      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x00000000017a8740      1      1 ------ \Device\Afd\Endpoint
0x00000000017ab500      1      0 R--r-- \Device\HarddiskVolume1\Documents and Settings\CSCG\Local Settings\Application Data\IconCache.db
0x00000000017ac948      1      1 ------ \Device\NamedPipe\spoolss
0x00000000017acd78      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x00000000017ace40      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x00000000017acf60      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x00000000017ad1a0      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x00000000017ad420      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x00000000017ad590      3      1 ------ \Device\NamedPipe\net\NtControlPipe8
0x00000000017ad6e8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x00000000017ae1d8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x00000000017aede8      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\notepad.exe
0x00000000017b5688      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\WinSxS\Policies\x86_policy.5.2.Microsoft.Windows.Networking.Dxmrtp_6595b64144ccf1df_x-ww_362e60dd\5.2.2.3.Policy
0x00000000017bbd30      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\system32
0x00000000017bbf00      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\WinSxS\Manifests\x86_Microsoft.Windows.SystemCompatible_6595b64144ccf1df_5.1.2600.2000_x-ww_bcc9a281.Manifest
0x00000000017bc1d8      3      1 RW-r-- \Device\HarddiskVolume1\WINDOWS\SchedLgU.Txt
0x00000000017bd498      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x00000000017bd938      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x00000000017bdc38      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x00000000017bdd58      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x00000000017bf4d0      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x00000000017bfdc0      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x00000000017bff90      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x00000000017c0338      1      1 ------ \Device\KSENUM#00000001\{9B365890-165F-11D0-A195-0020AFD156E4}
0x00000000017c0548      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x00000000017c09b8      2      1 ------ \Device\NamedPipe\spoolss
0x00000000017c53e0      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\sens.dll
0x00000000017c5478      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x00000000017c8588      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\Media\Windows XP Start.wav
0x00000000017c8620      1      1 -W-rw- \Device\HarddiskVolume1\WINDOWS\wiadebug.log
0x00000000017c88c8      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x00000000017c90e8      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\CSCG\Desktop\CSCG\cscg.flag.PNG
0x00000000017c9358      1      1 RW---- \Device\HarddiskVolume1\Documents and Settings\CSCG\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat.LOG
0x00000000017c9548      1      1 RW---- \Device\HarddiskVolume1\WINDOWS\SoftwareDistribution\EventCache\{354078ED-41C3-46A6-840B-26051C267BF6}.bin
0x00000000017c9950      2      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\CSCG\Local Settings\History\History.IE5\MSHist012020032220200323\index.dat
0x00000000017c9f50      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x00000000017ca738      1      0 RW-rw- \Device\HarddiskVolume1\Documents and Settings\CSCG\Recent\password.txt.lnk
0x00000000017cb038      3      0 RWD--- \Device\HarddiskVolume1\$SetEndOfFileInfo
0x00000000017cb450      4      1 RW---- \Device\HarddiskVolume1\Documents and Settings\CSCG\NTUSER.DAT
0x00000000017cb718      2      1 ------ \Device\NamedPipe\VBoxTrayIPC-CSCG
0x00000000017cbf90      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x00000000017cc718      2      1 ------ \Device\NamedPipe\PIPE_EVENTROOT\CIMV2SCM EVENT PROVIDER
0x00000000017d2150      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x00000000017d2720      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x00000000017d35f8      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x00000000017d36d0      2      1 ------ \Device\NamedPipe\winlogonrpc
0x00000000017d4028      3      1 ------ \Device\NamedPipe\net\NtControlPipe7
0x00000000017d5140      1      1 ------ \Device\NamedPipe\winlogonrpc
0x00000000017d55e0      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.2180_x-ww_a84f1ff9
0x000000000185cb80      3      0 RWD--- \Device\TrueCryptVolumeE\$MftMirr
0x000000000185d128      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\wbem\framedyn.dll
